2016-10-03 14:21:20,439 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:21:20,442 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:21:20,444 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:21:20,447 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:22:19,746 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:22:19,750 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:22:19,752 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:22:19,756 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:24:15,292 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:24:15,295 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:24:15,296 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:24:15,299 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:24:28,289 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:24:28,292 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:24:28,295 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:24:28,298 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:26:20,691 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:26:20,695 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:26:20,696 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:26:20,699 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:26:41,153 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:26:41,158 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:26:41,161 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:26:41,165 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:27:44,342 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:27:44,346 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:27:44,347 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:27:44,350 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:27:51,789 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:27:51,792 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:27:51,796 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:27:51,800 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:29:06,612 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:06,617 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:29:06,618 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:06,623 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:29:12,761 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:12,764 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:29:12,767 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:12,770 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:29:18,021 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:18,024 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:29:18,025 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:29:18,029 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:30:14,857 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:30:14,860 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:30:14,862 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:30:14,865 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:30:42,667 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:30:42,670 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:30:42,671 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:30:42,675 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:31:03,299 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:03,302 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:31:03,304 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:03,308 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:31:07,854 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:07,856 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:31:07,857 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:07,861 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:31:18,290 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:18,293 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:31:18,295 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:18,299 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:31:22,049 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:22,053 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:31:22,054 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:22,058 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:31:27,914 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:27,918 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:31:27,920 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:31:27,925 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:34:36,808 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:34:36,812 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:34:36,813 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:34:36,817 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:36:23,239 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:23,242 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:36:23,245 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:23,248 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:36:31,941 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:31,945 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:36:31,946 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:31,950 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:36:50,899 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:50,904 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:36:50,907 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:36:50,910 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:37:43,916 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:37:43,921 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:37:43,922 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
